"Story","Title","Result","Date","Stability","Duration (s)"
"Full regression","Electronic fund information is saved","SKIPPED","2017-01-06T11:51:45.046-05:00","0.0","0.0"
"Full regression","Insurance application information is saved","SKIPPED","2017-01-06T11:51:45.048-05:00","0.0","0.0"
"Full regression","Logging into Disaster Assistance dashboard","SKIPPED","2017-01-06T11:51:44.942-05:00","0.0","0.01"
"Full regression","Logging out of the dashboard","SKIPPED","2017-01-06T11:51:45.050-05:00","0.0","0.0"
"Full regression","Mailing address information is saved","SKIPPED","2017-01-06T11:51:45.020-05:00","0.0","0.0"
"Full regression","Phone number information is updated and saved","SKIPPED","2017-01-06T11:51:45.026-05:00","0.0","0.0"
"Full regression","Update electronic fund application information","SKIPPED","2017-01-06T11:51:45.031-05:00","0.0","0.01"
"Full regression","View all application information","SKIPPED","2017-01-06T11:51:44.999-05:00","0.0","0.01"
"Full regression","View notifications on homepage","SKIPPED","2017-01-06T11:51:45.007-05:00","0.0","0.0"
"Full regression","View personalized list of FOAs from the additional resources","SKIPPED","2017-01-06T11:51:45.013-05:00","0.0","0.01"
