"Story","Title","Result","Date","Stability","Duration (s)"
"Full regression","Electronic fund information is saved","SKIPPED","2017-01-06T11:07:17.147-05:00","0.0","0.0"
"Full regression","Insurance application information is saved","SKIPPED","2017-01-06T11:07:17.151-05:00","0.0","0.0"
"Full regression","Logging into Disaster Assistance dashboard","SKIPPED","2017-01-06T11:07:17.027-05:00","0.0","0.01"
"Full regression","Logging into the dashboard","SUCCESS","2017-01-06T11:07:18.648-05:00","0.0","26.09"
"Full regression","Logging out of the dashboard","SKIPPED","2017-01-06T11:07:17.155-05:00","0.0","0.0"
"Full regression","Mailing address information is saved","SKIPPED","2017-01-06T11:07:17.112-05:00","0.0","0.01"
"Full regression","Phone number information is updated and saved","SKIPPED","2017-01-06T11:07:17.120-05:00","0.0","0.0"
"Full regression","Update electronic fund application information","SKIPPED","2017-01-06T11:07:17.127-05:00","0.0","0.02"
"Full regression","Update insurance application information","SUCCESS","2017-01-06T11:07:44.741-05:00","0.0","28.79"
"Full regression","View all application information","SKIPPED","2017-01-06T11:07:17.087-05:00","0.0","0.01"
"Full regression","View notifications on homepage","SKIPPED","2017-01-06T11:07:17.097-05:00","0.0","0.01"
"Full regression","View personalized list of FOAs from the additional resources","SKIPPED","2017-01-06T11:07:17.106-05:00","0.0","0.0"
